GFP X,GFP Y,RFP X,RFP Y
7,1,7,2
15,4,15,5
30,8,30,8
15,14,16,13
24,18,23,20
22,29,21,29
6,31,7,30
29,30,28,30
17,36,16,36
11,38,12,38
15,45,15,45
5,52,4,51
27,51,26,51
14,58,13,58
19,66,19,66
8,72,7,71
