GFP X,GFP Y,RFP X,RFP Y
5,19,5,20
21,20,21,20
6,31,6,33
14,33,13,34
10,36,11,36
4,40,4,40
14,38,16,40
21,44,21,44
10,47,10,46
15,47,15,46
17,60,16,59
