GFP X,GFP Y,RFP X,RFP Y
3,1,1,1
20,1,20,2
12,5,12,5
8,10,9,10
11,17,11,16
20,20,21,20
12,25,11,25
19,33,19,34
24,34,24,34
21,47,23,49
23,53,22,53
6,57,6,57
