GFP X,GFP Y,RFP X,RFP Y
2,2,2,2
17,5,17,5
2,11,3,10
24,11,24,12
11,15,10,17
9,26,8,26
16,27,15,27
4,33,3,33
22,42,22,42
2,42,4,43
14,48,13,48
21,58,20,57
