GFP X,GFP Y,RFP X,RFP Y
5,4,6,4
26,4,26,6
13,7,12,8
4,12,3,12
23,14,24,16
27,27,27,27
18,27,19,28
5,28,4,30
23,31,23,32
14,36,14,37
22,37,22,37
7,41,7,41
21,54,21,53
3,57,2,58
