GFP X,GFP Y,RFP X,RFP Y
8,2,7,3
24,2,24,3
9,14,9,16
17,16,16,17
13,19,14,19
17,21,19,23
13,30,13,29
18,30,18,29
27,44,26,45
3,49,2,49
21,52,22,52
11,53,11,54
