GFP X,GFP Y,RFP X,RFP Y
12,10,12,11
5,19,4,20
21,19,21,20
14,33,13,34
10,36,11,36
4,40,4,40
21,44,22,44
10,47,10,46
15,47,15,46
23,61,23,62
